Time[ms];pwmL[us];curL[mA];volL[mV];pwmR[us];curR[mA];volR[mV];strini[uint10]
41598;0;20;7224;0;21;7264;5
41655;0;21;7312;0;21;7328;6
41709;0;21;7360;0;21;7360;6
41763;0;21;7384;0;21;7384;6
41817;0;21;7400;0;21;7392;6
41871;0;21;7408;0;21;7400;6
41925;0;21;7416;0;21;7400;6
41979;0;21;7416;0;21;7408;5
42033;0;21;7416;0;21;7408;6
42087;0;21;7416;0;21;7408;7
42141;0;21;7424;0;21;7408;7
42195;0;21;7424;0;21;7408;6
42249;0;21;7424;0;21;7408;7
42303;0;21;7424;0;21;7408;6
42357;0;21;7424;0;21;7408;6
42411;0;21;7424;0;21;7408;6
42465;0;21;7424;0;21;7408;6
42519;0;21;7424;0;21;7408;5
42573;0;21;7424;0;21;7408;5
42630;0;21;7424;0;21;7408;5
42684;0;21;7424;0;21;7408;4
42737;0;21;7424;0;21;7408;5
42791;0;21;7424;0;21;7408;5
42846;0;21;7424;0;21;7408;5
42900;0;21;7424;0;21;7408;5
42953;0;21;7424;0;21;7408;5
43008;0;21;7424;0;21;7408;5
43069;0;21;7424;0;21;7408;5
43126;0;21;7424;0;21;7408;5
43181;0;21;7424;0;21;7408;5
43235;0;21;7424;0;21;7408;5
43289;0;21;7424;0;21;7408;5
43342;0;21;7424;0;21;7408;5
43397;0;21;7424;0;21;7408;5
43451;0;21;7424;0;21;7408;5
43505;0;21;7424;0;21;7408;5
43558;0;21;7424;0;21;7408;5
43616;0;21;7424;0;21;7408;5
43669;0;21;7424;0;21;7408;5
43723;0;21;7424;0;21;7408;5
43778;0;21;7424;0;21;7408;5
43832;0;21;7424;0;21;7408;5
43885;0;21;7424;0;21;7408;5
43939;0;21;7424;0;21;7408;5
43994;0;21;7424;0;21;7408;5
44048;0;21;7424;0;21;7408;5
44101;0;21;7424;0;21;7408;5
44155;0;21;7424;0;21;7408;5
44210;0;21;7424;0;21;7408;5
44263;0;21;7424;0;21;7408;5
44317;0;21;7424;0;21;7408;5
44371;0;21;7424;0;21;7408;5
44426;0;21;7424;0;21;7408;5
44479;0;21;7424;0;21;7408;5
44536;0;21;7424;0;21;7408;5
44590;0;21;7424;0;21;7408;5
44644;0;21;7424;0;21;7408;5
44698;0;21;7424;0;21;7408;5
44752;0;21;7424;0;21;7408;5
44806;0;21;7424;0;21;7408;5
44860;0;21;7424;0;21;7408;5
44914;0;21;7424;0;21;7408;6
44968;0;21;7424;0;21;7408;6
45022;0;21;7424;0;21;7408;5
45076;0;21;7424;0;21;7408;5
45130;0;21;7424;0;21;7408;5
45184;0;21;7424;0;21;7408;5
45238;0;21;7424;0;21;7408;5
45292;0;21;7424;0;21;7408;5
45346;0;21;7424;0;21;7408;5
45400;0;21;7424;0;21;7408;5
45454;0;21;7424;0;21;7408;5
45510;0;21;7424;0;21;7408;5
45564;0;21;7424;0;21;7408;6
45619;0;21;7424;0;21;7408;5
45673;0;21;7424;0;21;7408;5
45726;0;21;7424;0;21;7408;5
45780;0;21;7424;0;21;7408;5
45835;0;21;7424;0;21;7408;6
45888;0;21;7424;0;21;7408;6
45942;0;21;7424;0;21;7408;5
45997;0;21;7424;0;21;7408;5
46051;0;21;7424;0;21;7408;5
46104;0;21;7424;0;21;7408;5
46158;0;21;7424;0;21;7408;5
46213;0;21;7424;0;21;7408;5
46267;0;21;7424;0;21;7408;5
46320;0;21;7424;0;21;7408;5
46374;0;21;7424;0;21;7408;5
46431;0;21;7424;0;21;7408;6
46485;0;21;7424;0;21;7408;5
46539;0;21;7424;0;21;7408;5
46593;0;21;7424;0;21;7408;6
46647;0;21;7424;0;21;7408;5
46701;0;21;7424;0;21;7408;5
46755;0;21;7424;0;21;7408;5
46809;0;21;7424;0;21;7408;5
46863;0;21;7424;0;21;7408;5
46917;0;21;7424;0;21;7408;5
46970;0;21;7424;0;21;7408;5
47025;0;21;7424;0;21;7408;5
47079;0;21;7424;0;21;7408;6
47133;0;21;7424;0;21;7408;5
47186;0;21;7424;0;21;7408;5
47241;0;21;7424;0;21;7408;5
47295;0;21;7424;0;21;7408;6
47349;0;21;7424;0;21;7408;5
47406;0;21;7424;0;21;7408;5
47460;0;21;7424;0;21;7408;5
47513;0;21;7424;0;21;7408;5
47567;0;21;7424;0;21;7408;6
47622;0;21;7424;0;21;7408;6
47676;0;21;7424;0;21;7408;5
47729;0;21;7424;0;21;7408;5
